window,std_dev,累计收益率,年化收益率,最大回撤,Sharpe比率,交易次数,最终资金
35,2.75,0.23194801990608926,0.04260181534067353,0.2803101684966241,0.32196402727323303,8,123194.80199060893
45,3.0,0.23137497018375952,0.04250480250119759,0.28042873411491065,0.33697325997536337,6,123137.49701837596
40,3.0,0.23061326560091766,0.04237579594202123,0.28058648831604605,0.3361693475527109,6,123061.32656009177
30,3.0,0.20120730171344836,0.03734589500795327,0.2797710335048021,0.302464194993523,6,120120.73017134483
25,3.0,0.20120730171344836,0.03734589500795327,0.2797710335048021,0.302464194993523,6,120120.73017134483
30,1.75,0.19111813325800964,0.03559743777798219,0.3863938030133361,0.2772184537890164,20,119111.81332580096
50,3.0,0.18528527567888742,0.0345811894146546,0.31055186203963453,0.2710868702187439,6,118528.52756788874
45,1.5,0.18155078973901317,0.033928433917829626,0.3209976765948932,0.2707387776190604,20,118155.07897390131
25,1.5,0.17877064910669294,0.03344141707496506,0.39542644107985625,0.2655738384758559,30,117877.06491066929
40,2.75,0.1545669659774056,0.029162197213760788,0.31095215117523506,0.2478271968100734,8,115456.69659774056
50,1.5,0.14608308264212866,0.027645252870746262,0.32725309649643075,0.2403900810914666,18,114608.30826421287
20,2.75,0.1407270135354215,0.026682939200870504,0.36722249314262123,0.23811828762251072,6,114072.70135354214
35,1.5,0.10430798843187228,0.020041973352887155,0.422158765981977,0.20273268889116555,22,110430.79884318722
15,1.5,0.10159178319843565,0.019539690778741958,0.41321761461351636,0.20029481459885065,46,110159.17831984357
15,1.75,0.09138754212405376,0.017643817395712746,0.4379830451344281,0.19088310980823042,36,109138.75421240537
15,3.0,0.0619703076835052,0.012097786033376412,0.13759217486972725,0.18920231501970763,2,106197.03076835051
30,1.5,0.05535602327844269,0.010833900812017294,0.4502652127706038,0.1603838942955876,23,105535.60232784426
20,1.5,0.04686874354028969,0.009202799680076756,0.46668679229075055,0.15045719902387364,36,104686.87435402897
40,1.5,0.022276901722986464,0.004416202026261029,0.40977896330709135,0.12920785007029897,20,102227.69017229865
10,3.0,0.0,0.0,0.0,,0,100000.0
10,2.75,0.0,0.0,0.0,,0,100000.0
20,3.0,-0.034271485410667935,-0.006950239599121777,0.27018148376647005,0.025042239078239985,3,96572.8514589332
