short_window,long_window,累计收益率,年化收益率,最大回撤,Sharpe比率,交易次数,最终资金
15,25,0.0392745827377472,0.007734347365896399,0.24779406478280305,0.1280844793618513,53,103927.45827377473
5,65,0.030235834848581167,0.005975329866225065,0.21374057493062767,0.11318663929376664,32,103023.58348485811
20,95,0.024414680829797364,0.004835936858711198,0.1795549569603426,0.10050232712441858,13,102441.46808297974
20,25,0.0231732233923152,0.0045922726053688745,0.27009342711681666,0.10689350483538547,65,102317.32233923153
25,35,0.02304021005447421,0.0045661516871635666,0.2785883745012779,0.10233774047885508,46,102304.02100544742
15,40,0.018074131914683766,0.003588972315234251,0.2601438339051776,0.09282865149890362,29,101807.41319146838
20,30,0.015899995147634405,0.0031599650644402733,0.2634167893545168,0.09344069925252438,49,101589.99951476343
15,65,0.012446518505221382,0.002477002188208788,0.1596753423229052,0.07615782248079235,20,101244.65185052215
5,80,0.01241726342935845,0.0024712087207627853,0.23330153656299452,0.08291464007521387,40,101241.72634293584
25,85,0.011680049210481602,0.002325171823109873,0.20457350946116104,0.07604921267145871,13,101168.00492104817
10,35,0.008583700383385962,0.0017108758598940454,0.25234627933093523,0.08198275412149938,37,100858.3700383386
25,75,0.005458624937077383,0.0010893490379337845,0.2434446983898699,0.05935757161887409,16,100545.86249370774
25,90,-0.0015992434262731559,-0.0003200534881668826,0.21243578884014439,0.05000740560524059,13,99840.07565737268
15,75,-0.023449224157005233,-0.004734463372870978,0.16483859419004895,0.005856823863358479,18,97655.07758429948
25,95,-0.026784728400606084,-0.0054152794329737075,0.21741780447674294,0.001362052302656625,15,97321.52715993939
15,70,-0.027872239105033225,-0.005637656813471947,0.1734676902753773,-0.00725035329958965,24,97212.77608949668
15,60,-0.04350274351116601,-0.008856024024437192,0.2508290865539853,-0.031701273747441264,24,95649.7256488834
20,100,-0.05429799185044759,-0.01110344887745518,0.2286073786422902,-0.05058624952473275,13,94570.20081495524
15,55,-0.05462947369250182,-0.011172783026433875,0.25464181103205036,-0.054619806293058286,25,94537.05263074982
25,30,-0.06287495596160497,-0.012903734463560523,0.2689694946510369,-0.028776325862596434,59,93712.5044038395
30,90,-0.08075491176257743,-0.016699491842849246,0.2690103091611219,-0.11976801587491082,13,91924.50882374226
15,100,-0.08266372519649345,-0.017108196370864692,0.2288210814438213,-0.10940494452338313,19,91733.62748035065
25,45,-0.08305669711263608,-0.017192421771767497,0.31176307080819804,-0.08689150782876708,26,91694.3302887364
15,90,-0.09179576593725225,-0.019072964303319617,0.23757365554417958,-0.13150326156991368,18,90820.42340627477
25,100,-0.0962205842682452,-0.02003065802149251,0.24377118443460358,-0.15052578811646003,13,90377.94157317549
10,80,-0.09927443210951215,-0.020693813278114703,0.24389319619972458,-0.14218608374808406,22,90072.55678904879
30,45,-0.11559188460334413,-0.024268010085418124,0.23975594100491113,-0.16281756053447424,30,88440.81153966559
30,100,-0.11819587280665056,-0.02484326312031504,0.2723953007115994,-0.24366161804765687,13,88180.41271933494
5,90,-0.15009550022003648,-0.0320029679767867,0.3129168157192197,-0.20100209119742732,36,84990.44997799635
10,100,-0.15547837193282543,-0.033232248390665964,0.24552035277541456,-0.29431396591000064,22,84452.16280671746
5,85,-0.16424130953611604,-0.03524690556185317,0.31736941218089276,-0.2468715289672966,36,83575.8690463884
30,40,-0.16690326271272682,-0.03586225200833382,0.31525026230758013,-0.24123278795122133,42,83309.67372872731
20,80,-0.17156197323711764,-0.036942971517649026,0.1782593798443907,-0.3835261170608418,14,82843.80267628824
30,95,-0.18433654779047715,-0.039931544281242126,0.3218757531758263,-0.37035492842913714,13,81566.34522095228
10,95,-0.1896650008838474,-0.041189195327515526,0.27497789126190647,-0.37257556200089875,22,81033.49991161526
30,35,-0.1951935253456054,-0.04250108101394767,0.38401882932128095,-0.2824107008533245,56,80480.64746543946
20,85,-0.19607368279656046,-0.04271060187089426,0.22964389183960557,-0.3901850745613767,13,80392.63172034395
5,100,-0.215415962916355,-0.04736201672385543,0.3005235593443511,-0.41816652857241204,24,78458.4037083645
20,90,-0.2191702224712443,-0.048275447324583776,0.24595642247124444,-0.44360315329390215,15,78082.97775287557
10,85,-0.22675628604722597,-0.050131950566037364,0.34375548188166577,-0.4355690814309407,24,77324.3713952774
10,90,-0.23219978049175405,-0.05147311201280724,0.34914039705117483,-0.44289715139447927,24,76780.0219508246
15,95,-0.25096063832470517,-0.05615445981385392,0.26041046152584896,-0.5773326952173218,16,74903.93616752948
5,95,-0.2781451669719601,-0.06310704405019285,0.3145038002902018,-0.5676281289340954,28,72185.48330280399
