date,open,close,high,low,volume,middle_band,std,upper_band,lower_band,signal,position,prev_close,limit_up,limit_down,portfolio,cash,trade_executed,returns,max_drawdown
2024-01-22,1515.36,1527.46,1528.39,1505.95,4694589.0,1541.0315,32.377816361956796,1605.7871327239136,1476.2758672760865,0,54.0,1520.94,1673.034,1368.846,83476.76418145774,993.9241814577399,0,0.004235564964450322,0.18770829816650592
2024-01-23,1518.16,1506.06,1525.55,1496.76,3483490.0,1538.5665,33.09818905445418,1604.7628781089084,1472.3701218910915,0,54.0,1527.46,1680.2060000000001,1374.7140000000002,82321.16418145773,993.9241814577399,0,-0.013843373198894282,0.19895315534135188
2024-01-24,1515.36,1512.57,1519.86,1491.7,3321635.0,1536.52,33.39032132063001,1603.30064264126,1469.7393573587399,0,54.0,1506.06,1656.6660000000002,1355.454,82672.70418145774,993.9241814577399,0,0.004270347771383909,0.1955324067334898
2024-01-25,1513.33,1523.73,1526.53,1508.85,3120580.0,1535.168,33.33034110078864,1601.828682201577,1468.5073177984227,0,54.0,1512.57,1663.827,1361.3129999999999,83275.34418145774,993.9241814577399,0,0.007289467617719092,0.18966826626286923
2024-01-26,1516.63,1523.1,1529.41,1509.78,2695475.0,1531.09,29.101653054878195,1589.2933061097563,1472.8866938902436,0,54.0,1523.73,1676.103,1371.357,83241.32418145773,993.9241814577399,0,-0.0004085242797180477,0.18999930645072688
2024-01-29,1525.87,1534.9,1544.74,1525.87,3142068.0,1527.5549999999998,23.287753162737935,1574.1305063254756,1480.979493674524,0,54.0,1523.1,1675.41,1370.79,83878.52418145775,993.9241814577399,0,0.007654851797059159,0.1837988711860921
2024-01-30,1534.88,1500.48,1534.88,1497.69,3086633.0,1524.2055,22.028133799403058,1568.261767598806,1480.149232401194,0,54.0,1534.9,1688.3900000000003,1381.41,82019.84418145774,993.9241814577399,0,-0.022159188160953414,0.2018852255766621
2024-01-31,1500.48,1492.95,1506.96,1486.65,2964912.0,1520.0615,19.450202887595236,1558.9619057751904,1481.1610942248096,0,54.0,1500.48,1650.5280000000002,1350.432,81613.22418145774,993.9241814577399,0,-0.004957580742294576,0.205841944012484
2024-02-01,1493.5,1497.72,1510.61,1489.32,2648515.0,1517.319,18.467341557753407,1554.2536831155069,1480.384316884493,0,54.0,1492.95,1642.2450000000001,1343.655,81870.80418145774,993.9241814577399,0,0.003156106165188355,0.20333549687584776
2024-02-02,1502.34,1484.66,1514.23,1470.71,3938202.0,1514.1855,18.42393336911735,1551.0333667382347,1477.3376332617654,0,54.0,1497.72,1647.4920000000002,1347.948,81165.56418145774,993.9241814577399,0,-0.008614059762218962,0.2101980125161977
2024-02-05,1484.66,1516.3,1523.21,1483.97,5313036.0,1513.535,18.08844164246423,1549.7118832849285,1477.3581167150717,0,54.0,1484.66,1633.1260000000002,1336.1940000000002,82874.12418145774,993.9241814577399,0,0.02105030645977224,0.19357243863712648
2024-02-06,1516.3,1559.08,1567.9,1512.66,5247204.0,1515.1625,20.608052303336265,1556.3786046066725,1473.9463953933273,0,54.0,1516.3,1667.93,1364.67,85184.24418145773,993.9241814577399,0,0.027875045713205315,0.17109323349974762
2024-02-07,1563.76,1591.63,1594.98,1545.7,5260107.0,1518.3944999999999,26.722370773137655,1571.8392415462752,1464.9497584537246,0,54.0,1559.08,1714.988,1403.172,86941.94418145774,993.9241814577399,0,0.02063409750112699,0.15398949046043747
2024-02-08,1600.02,1586.99,1604.67,1567.46,4675654.0,1521.1585,30.730460677009862,1582.6194213540198,1459.6975786459802,0,54.0,1591.63,1750.7930000000003,1432.467,86691.38418145775,993.9241814577399,0,-0.0028819231311074667,0.15642762771703958
2024-02-19,1616.64,1577.16,1616.69,1570.25,3697744.0,1523.5945,33.17206251224038,1589.9386250244806,1457.2503749755192,-1,0.0,1586.99,1745.689,1428.291,78098.49986725773,78098.49986725773,-1,-0.09912039581942589,0.24004285516005874
2024-02-20,1578.95,1553.5,1578.95,1541.0,3447007.0,1524.9895000000001,33.840745679699296,1592.6709913593986,1457.3080086406017,0,0.0,1577.16,1734.8760000000002,1419.4440000000002,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-02-21,1549.8,1597.84,1610.25,1546.06,4615407.0,1528.6280000000002,37.557773405223045,1603.7435468104463,1453.512453189554,0,0.0,1553.5,1708.8500000000001,1398.15,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-02-22,1588.39,1598.51,1602.81,1581.9,2279361.0,1535.2040000000002,37.711170954201556,1610.6263419084032,1459.7816580915971,0,0.0,1597.84,1757.624,1438.056,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-02-23,1591.74,1594.52,1604.09,1581.43,2730589.0,1540.0049999999999,38.88629044034274,1617.7775808806853,1462.2324191193145,0,0.0,1598.51,1758.361,1438.659,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-02-26,1588.85,1576.74,1589.54,1567.47,2731832.0,1542.795,39.44418581663212,1621.6833716332644,1463.9066283667357,0,0.0,1594.52,1753.9720000000002,1435.068,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-02-27,1565.6,1571.64,1574.82,1560.94,2207985.0,1545.004,39.77589211676299,1624.5557842335259,1465.452215766474,0,0.0,1576.74,1734.4140000000002,1419.066,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-02-28,1571.1,1564.25,1578.22,1557.23,3186731.0,1547.9135,38.89579861968786,1625.7050972393758,1470.1219027606244,0,0.0,1571.64,1728.8040000000003,1414.476,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-02-29,1564.25,1576.76,1578.15,1562.06,2475833.0,1551.123,38.47194440518882,1628.0668888103778,1474.1791111896223,0,0.0,1564.25,1720.6750000000002,1407.825,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-01,1572.11,1567.51,1576.73,1559.72,2686796.0,1553.3120000000001,38.0747481727877,1629.4614963455756,1477.1625036544247,0,0.0,1576.76,1734.4360000000001,1419.084,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-04,1561.87,1559.36,1563.73,1553.55,2648477.0,1555.125,37.418062412917486,1629.961124825835,1480.288875174165,0,0.0,1567.51,1724.2610000000002,1410.759,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-05,1554.26,1576.85,1578.62,1550.41,3623837.0,1557.2225,37.4004301797683,1632.0233603595366,1482.4216396404636,0,0.0,1559.36,1715.296,1403.424,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-06,1573.04,1563.32,1576.76,1560.96,2214248.0,1560.3645000000001,34.94136162728298,1630.247223254566,1490.4817767454342,0,0.0,1576.85,1734.535,1419.165,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-07,1562.8,1566.18,1571.92,1560.94,2159912.0,1564.026,31.134724124615747,1626.2954482492316,1501.7565517507685,0,0.0,1563.32,1719.652,1406.988,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-03-08,1563.33,1554.83,1569.02,1553.55,2215623.0,1566.8815,27.089571750614997,1621.06064350123,1512.7023564987699,0,0.0,1566.18,1722.7980000000002,1409.5620000000001,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
